Date,Cases
5/17/2022,1
5/18/2022,0
5/19/2022,0
5/20/2022,1
5/21/2022,2
5/22/2022,0
5/23/2022,2
5/24/2022,2
5/25/2022,2
5/26/2022,2
5/27/2022,1
5/28/2022,0
5/29/2022,2
5/30/2022,0
5/31/2022,3
