Date,Cases
7/1/2022,52
7/2/2022,16
7/3/2022,11
7/4/2022,7
7/5/2022,37
7/6/2022,45
7/7/2022,52
7/8/2022,37
7/9/2022,37
7/10/2022,7
7/11/2022,100
7/12/2022,212
7/13/2022,140
7/14/2022,216
7/15/2022,159
7/16/2022,7
7/17/2022,1
7/18/2022,195
7/19/2022,301
7/20/2022,256
7/21/2022,184
7/22/2022,308
7/23/2022,9
7/24/2022,2
7/25/2022,439
